full_title,format_code,isbn13,year_published,bisac_status
The American and Japanese Auto Industries in Transition: Report of the Joint U.S.–Japan Automotive Study,PB,9780939512287,1984,Out of Print
The American and Japanese Auto Industries in Transition: Report of the Joint U.S.–Japan Automotive Study,EB,9780472880010,,Blank
Asia through Film: An Annotated Guide to Films on Asia in the University of Michigan Audio-Visual Education Center,HC,,1976,
Asia through Film: An Annotated Guide to Films on Asia in the University of Michigan Audio-Visual Education Center,EB,9780472880164,,Blank
Bibliographic Materials in the Japanese Language on Far Eastern Archeology and Ethnology,HC,,1950,Dormant
Bibliographic Materials in the Japanese Language on Far Eastern Archeology and Ethnology,EB,9780472880195,,Blank
A Bibliography of Japanese Dialects,HC,,1950,Dormant
A Bibliography of Japanese Dialects,EB,9780472880201,,Blank
A Bibliography of Reference Works for Japanese Studies,HC,,1979,
A Bibliography of Reference Works for Japanese Studies,EB,9780472880218,,Blank
Contemporary Japanese Budget Politics,HC,9780520025738,1977,
Contemporary Japanese Budget Politics,PB,9780520040878,,
Contemporary Japanese Budget Politics,EB,9780472880232,,Blank
Current Studies in Japanese Law,HC,,1979,
Current Studies in Japanese Law,EB,9780472880249,,Blank
Five Studies in Japanese Politics,HC,,1957,
Five Studies in Japanese Politics,EB,9780472880256,,Blank
Grand Old Man and the Great Tradition: Essays on Tanizaki Jun'ichirô in Honor of Adriana Boscaro,PB,9781929280551,2010,Active
How Policies Change: The Japanese Government and the Aging Society,HC,,1992,NYP Cancelled
How Policies Change: The Japanese Government and the Aging Society,PB,,,NYP Cancelled
How Policies Change: The Japanese Government and the Aging Society,EB,9780472880263,,Blank
An Introduction to Kambun,PB,9780939512003,1998,Out of Print
An Introduction to Kambun,EB,9780472880034,,Blank
"Japan Election Data: The House of Representatives, 1947–1990",HC,9780939512577,,Not Our Publication
"Japan Election Data: The House of Representatives, 1947–1990",PB,9780939512584,1992,Active
"Japan in the World, the World in Japan: Fifty Years of Japanese Studies at Michigan",PB,9780939512959,2001,Active
Japanese Economics: A Guide to Japanese Reference and Research Materials,HC,,1956,Dormant
Japanese Economics: A Guide to Japanese Reference and Research Materials,EB,9780472880294,,Blank
Japanese Geography: A Guide to Japanese Reference and Research Materials,HC,,1970,Dormant
Japanese Geography: A Guide to Japanese Reference and Research Materials,EB,9780472880300,,Blank
"Japanese History: A Guide to Survey Histories, Part I, By Period",HC,9780939512195,1984,Out of Print
"Japanese History: A Guide to Survey Histories, Part I, By Period",PB,9780939512270,,Out of Print
"Japanese History: A Guide to Survey Histories, Part I, By Period",EB,9780472880065,,Blank
"Japanese History: A Guide to Survey Histories, Part II, Literature",HC,9780939512256,1986,Out of Print
"Japanese History: A Guide to Survey Histories, Part II, Literature",EB,9780472880058,,Blank
Japanese History: A Guide to Japanese Reference and Research Materials,EB,9780472880317,,
Japanese Language Studies in the Shōwa Period: A Guide to Japanese Reference and Research Materials,HC,,1961,Dormant
Japanese Language Studies in the Shōwa Period: A Guide to Japanese Reference and Research Materials,EB,9780472880324,,Blank
Japanese Literature of the Shōwa Period: A Guide to Japanese Reference and Research Materials,HC,,1959,Dormant
Japanese Literature of the Shōwa Period: A Guide to Japanese Reference and Research Materials,EB,9780472880331,,Blank
Japanese Political Science: A Guide to Japanese Reference and Research Materials,HC,,1961,Dormant
Japanese Political Science: A Guide to Japanese Reference and Research Materials,EB,9780472880348,,Blank
Japanese Religion and Philosophy: A Guide to Japanese Reference and Research Materials,HC,,1959,Dormant
Japanese Religion and Philosophy: A Guide to Japanese Reference and Research Materials,EB,9780472880355,,Blank
Japanese Sociology and Social Anthropology: A Guide to Japanese Reference and Research Materials,HC,,1970,Dormant
Japanese Sociology and Social Anthropology: A Guide to Japanese Reference and Research Materials,EB,9780472880362,,Blank
Occasional Papers No. 1,EB,9780472880393,,
Occasional Papers No. 2,EB,9780472880270,,
Occasional Papers No. 4,EB,9780472880225,,
A Practical Guide for Teachers of Elementary Japanese,PB,9780939512164,1984,Active
The Social Democratic Movement in Prewar Japan,HC,,2005,
The Social Democratic Movement in Prewar Japan,EB,9780472880409,,Blank
Studies in Japanese Culture 1,HC,,1965,
Studies in Japanese Culture 1,EB,9780472880416,,Blank
Studies in Japanese Culture II,HC,,1965,
Studies in Japanese Culture II,EB,9780472880423,,Blank
Studies in Japanese History and Politics,HC,,1967,Dormant
Studies in Japanese History and Politics,EB,9780472880430,,Blank
Studies on Economic Life in Japan,HC,,1964,Dormant
